Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCaffeine,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,83
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCaffeine,Magic Number,The method contains a magic number: 8,83
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCommonsio,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,97
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCommonsio,Magic Number,The method contains a magic number: 8,97
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCommonslang3,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,111
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCommonslang3,Magic Number,The method contains a magic number: 8,111
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getDisruptor,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,125
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getDisruptor,Magic Number,The method contains a magic number: 8,125
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFastreflect,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,139
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFastreflect,Magic Number,The method contains a magic number: 8,139
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFastutil,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,153
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFastutil,Magic Number,The method contains a magic number: 8,153
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFlatlaf,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,167
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFlatlaf,Magic Number,The method contains a magic number: 8,167
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFormsrt,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,181
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFormsrt,Magic Number,The method contains a magic number: 8,181
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGson,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,195
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGson,Magic Number,The method contains a magic number: 8,195
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,209
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Magic Number,The method contains a magic number: 8,209
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJavapoet,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,223
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJavapoet,Magic Number,The method contains a magic number: 8,223
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJegenerator,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,237
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJegenerator,Magic Number,The method contains a magic number: 8,237
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJs,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,251
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJs,Magic Number,The method contains a magic number: 8,251
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLeveldbjni,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,265
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLeveldbjni,Magic Number,The method contains a magic number: 8,265
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLibdeflate,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,279
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLibdeflate,Magic Number,The method contains a magic number: 8,279
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getMcterminal,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,293
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getMcterminal,Magic Number,The method contains a magic number: 8,293
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNbt,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,307
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNbt,Magic Number,The method contains a magic number: 8,307
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNetwork,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,321
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNetwork,Magic Number,The method contains a magic number: 8,321
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getOshi,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,335
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getOshi,Magic Number,The method contains a magic number: 8,335
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPicocli,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,349
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPicocli,Magic Number,The method contains a magic number: 8,349
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPolyglot,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,363
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPolyglot,Magic Number,The method contains a magic number: 8,363
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getProgressbar,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,377
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getProgressbar,Magic Number,The method contains a magic number: 8,377
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getReflections,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,391
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getReflections,Magic Number,The method contains a magic number: 8,391
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSdk,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,405
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSdk,Magic Number,The method contains a magic number: 8,405
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSnakeyaml,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,419
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSnakeyaml,Magic Number,The method contains a magic number: 8,419
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getChromeinspector,Long Identifier,The length of the field laccForChromeinspectorLibraryAccessors is 38.,433
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getChromeinspector,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,433
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getChromeinspector,Magic Number,The method contains a magic number: 8,433
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJoml,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,444
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJoml,Magic Number,The method contains a magic number: 8,444
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLog4j,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,455
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLog4j,Magic Number,The method contains a magic number: 8,455
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNetty,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,466
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNetty,Magic Number,The method contains a magic number: 8,466
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getOkaeri,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,477
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getOkaeri,Magic Number,The method contains a magic number: 8,477
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getProfiler,Long Identifier,The length of the field laccForProfilerLibraryAccessors is 31.,488
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getProfiler,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,488
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getProfiler,Magic Number,The method contains a magic number: 8,488
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSlf4j,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,499
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSlf4j,Magic Number,The method contains a magic number: 8,499
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,517
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,Magic Number,The method contains a magic number: 8,517
Allay,org.allaymc.api,AllayAPI,implement,Long Statement,The length of the statement "if (entry.getValue() == null) throw new MissingImplementationException("Missing binding for " + entry.getKey().getName());" is 122.,82
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,updateBlockProperty,Long Parameter List,The method has 5 parameters. ,43
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,updateBlockProperty,Long Statement,The length of the statement "if (oldBlockState.getBlockType() != getBlockType()) throw new IllegalArgumentException("Block type is not match! Expected: " + getBlockType().getIdentifier() + "` actual: "+ oldBlockState.getBlockType().getIdentifier());" is 220.,43
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,updateBlockProperty,Magic Number,The method contains a magic number: 15,43
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,updateBlockProperty,Magic Number,The method contains a magic number: 15,43
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Complex Method,Cyclomatic complexity of the method is 12,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Long Statement,The length of the statement "if (containerHolder.hasContainer(FullContainerType.ARMOR)) hasAquaAffinity=containerHolder.getContainer(FullContainerType.ARMOR).getItemStack(0).hasEnchantment(EnchantmentAquaAffinityType.AQUA_AFFINITY_TYPE);" is 208.,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Long Statement,The length of the statement "if (containerHolder.hasContainer(FullContainerType.PLAYER_INVENTORY)) efficiencyLevel=containerHolder.getContainer(FullContainerType.PLAYER_INVENTORY).getItemInHand().getEnchantmentLevel(EnchantmentEfficiencyType.EFFICIENCY_TYPE);" is 230.,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 2,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 1.5,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 5d,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 1.5,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 0.2d,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 3,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 0.2d,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,calculateBreakTime,Magic Number,The method contains a magic number: 0.2d,175
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,checkBlockType,Long Statement,The length of the statement "if (blockState.getBlockType() != getBlockType()) throw new IllegalArgumentException("Block type is not match! Expected: " + getBlockType().getIdentifier() + "` actual: "+ blockState.getBlockType().getIdentifier());" is 214.,240
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,getBlockEntity,Long Statement,The length of the statement "throw new IllegalStateException("Mismatched block entity type at pos %d` %d` %d` %s! Expected: %s` actual: %s".formatted(x`y`z`dimension.toString()`this.getBlockEntityType().getName()`blockEntity.getBlockEntityType().getName()));" is 229.,20
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,createBlockEntityAt,Long Parameter List,The method has 5 parameters. ,43
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,createBlockEntityAt,Long Statement,The length of the statement "throw new IllegalStateException("Trying to create a block entity in an unload chunk! Dimension: " + dimension + " at pos "+ x+ "` "+ y+ "` "+ z);" is 145.,43
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,createBlockEntityAt,Long Statement,The length of the statement "throw new IllegalStateException("Trying to create a block entity when block entity already exists! Dimension: " + dimension + " at pos "+ x+ "` "+ y+ "` "+ z+ "!");" is 164.,43
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,createBlockEntityAt,Long Statement,The length of the statement "var blockEntity=getBlockEntityType().createBlockEntity(SimpleBlockEntityInitInfo.builder().pos(x`y`z).dimension(dimension).build());" is 132.,43
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,createBlockEntityAt,Magic Number,The method contains a magic number: 15,43
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,createBlockEntityAt,Magic Number,The method contains a magic number: 15,43
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,removeBlockEntityAt,Long Statement,The length of the statement "throw new IllegalStateException("Trying to remove a block entity in an unload chunk! Dimension: " + dimension + " at pos "+ x+ "` "+ y+ "` "+ z);" is 145.,68
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,removeBlockEntityAt,Long Statement,The length of the statement "throw new IllegalStateException("Trying to remove a block entity which is not exists in Dimension " + dimension + " at pos "+ x+ "` "+ y+ "` "+ z+ "!");" is 152.,68
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,removeBlockEntityAt,Magic Number,The method contains a magic number: 15,68
Allay,org.allaymc.api.block.component.common,BlockEntityHolderComponent,removeBlockEntityAt,Magic Number,The method contains a magic number: 15,68
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.1f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.2f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.3f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.2f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.9f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.3f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.8f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.1f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.3f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.9f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.2f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.7f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.7f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.2f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.1f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.3f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.2f,14
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Magic Number,The method contains a magic number: 0.9f,14
Allay,org.allaymc.api.block.palette,BlockStateHashPalette,register,Long Statement,The length of the statement "if (getContent().containsKey(hash)) throw new BlockStateHashCollisionException("Checked for possible block state hash collisions! Hash: " + hash + "` BlockState: "+ blockState);" is 177.,21
Allay,org.allaymc.api.block.property.type,EnumPropertyType,EnumPropertyType,Long Statement,The length of the statement "super(name`Arrays.asList(enumClass.getEnumConstants())`defaultData`Utils.computeRequiredBits(enumClass.getEnumConstants().length));" is 131.,20
